"original","ensembl_gene_id","hgnc_symbol"
"ENSG00000153002.12","ENSG00000153002","CPB1"
"ENSG00000210082.2","ENSG00000210082","MT-RNR2"
"ENSG00000276168.1","ENSG00000276168","RN7SL1"
"ENSG00000211896.7","ENSG00000211896","IGHG1"
"ENSG00000108821.14","ENSG00000108821","COL1A1"
"ENSG00000198804.2","ENSG00000198804","MT-CO1"
"ENSG00000198886.2","ENSG00000198886","MT-ND4"
"ENSG00000115414.21","ENSG00000115414","FN1"
"ENSG00000164692.18","ENSG00000164692","COL1A2"
"ENSG00000168542.16","ENSG00000168542","COL3A1"
"ENSG00000211592.8","ENSG00000211592","IGKC"
"ENSG00000110484.7","ENSG00000110484","SCGB2A2"
"ENSG00000198938.2","ENSG00000198938","MT-CO3"
"ENSG00000198712.1","ENSG00000198712","MT-CO2"
"ENSG00000198727.2","ENSG00000198727","MT-CYB"
"ENSG00000115461.5","ENSG00000115461","IGFBP5"
"ENSG00000135222.6","ENSG00000135222","CSN2"
"ENSG00000012223.13","ENSG00000012223","LTF"
"ENSG00000198763.3","ENSG00000198763","MT-ND2"
"ENSG00000100604.13","ENSG00000100604","CHGA"
